station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
Columbus Ave & W 72 St,"40.7770575,-73.97898475",Morning,588,365,953
Norfolk St & Broome St,"40.7172274,-73.98802084",Morning,568,384,952
W 47 St & 10 Ave,"40.76269882,-73.99301222",Morning,530,422,952
W 13 St & 7 Ave,"40.73781509,-73.99994661",Morning,548,403,951
E 55 St & Lexington Ave,"40.75968085,-73.97031366",Morning,437,510,947
W 11 St & 6 Ave,"40.73532427,-73.99800419",Morning,500,440,940
E 9 St & Avenue C,"40.72521311,-73.97768752",Morning,658,278,936
Fulton St & William St,"40.70955958,-74.00653609",Morning,444,488,932
E 72 St & York Ave,"40.76663814,-73.95348296",Morning,497,431,928
E 6 St & Avenue B,"40.72453734,-73.98185424",Morning,622,304,926
S 4 St & Wythe Ave,"40.71285887,-73.96590294",Morning,453,472,925
Shevchenko Pl & E 7 St,"40.728145,-73.990214",Morning,509,415,924
Queens Plaza North & Crescent St,"40.75110165,-73.94073717",Morning,528,396,924
Carlton Ave & Flushing Ave,"40.697787,-73.973736",Morning,425,493,918
W 59 St & 10 Ave,"40.770513,-73.988038",Morning,412,505,917
Pike St & E Broadway,"40.71406667,-73.99293911",Morning,598,317,915
Washington Pl & 6 Ave,"40.73224119,-74.00026394",Morning,502,411,913
W 53 St & 10 Ave,"40.76669671,-73.99061728",Morning,565,348,913
Pearl St & Hanover Square,"40.7047177,-74.00926027",Morning,382,529,911
S 3 St & Bedford Ave,"40.71260486,-73.96264403",Morning,444,461,905
E 51 St & 1 Ave,"40.75455731,-73.96592976",Morning,491,406,897
Atlantic Ave & Fort Greene Pl,"40.68382604,-73.97632328",Morning,382,499,881
Bedford Ave & Nassau Ave,"40.72311651,-73.95212324",Morning,351,526,877
Nassau St & Navy St,"40.69839895,-73.98068914",Morning,426,450,876
DeKalb Ave & Hudson Ave,"40.689888,-73.981013",Morning,314,550,864
E 43 St & 2 Ave,"40.75022392,-73.97121414",Morning,388,473,861
Washington Ave & Park Ave,"40.69610226,-73.96751037",Morning,392,462,854
N 6 St & Bedford Ave,"40.71745169,-73.95850939",Morning,377,472,849
Cooper Square & E 7 St,"40.729236499100061,-73.990868031978607",Morning,512,332,844
1 Ave & E 62 St,"40.7612274,-73.96094022",Morning,396,438,834
Kent Ave & N 7 St,"40.72057658,-73.96150225",Morning,111,722,833
Broadway & Berry St,"40.71044554,-73.96525063",Morning,435,396,831
Old Slip & Front St,"40.7037992,-74.00838676",Morning,326,498,824
St James Pl & Oliver St,"40.71307916,-73.99851193",Morning,410,411,821
Pearl St & Anchorage Pl,"40.70281858,-73.98765762",Morning,240,576,816
E 41 St & Madison Ave,"40.752165280621966,-73.979921936988816",Morning,388,423,811
Maiden Ln & Pearl St,"40.70706456,-74.00731853",Morning,418,385,803
E 55 St & 2 Ave,"40.75797322,-73.96603308",Morning,423,379,802
E 59 St & Madison Ave,"40.76350532,-73.97109243",Morning,316,486,802
Grand St & Elizabeth St,"40.718822,-73.99596",Morning,418,383,801
E 2 St & Avenue C,"40.7208736,-73.98085795",Morning,604,182,786
Duane St & Greenwich St,"40.71748752,-74.0104554",Morning,333,436,769
Central Park W & W 96 St,"40.79127,-73.964839",Morning,403,362,765
E 59 St & Sutton Pl,"40.75849116,-73.95920622",Morning,352,408,760
2 Ave & E 58 St,"40.76020258,-73.96478473",Morning,344,415,759
Harrison St & Hudson St,"40.71870987,-74.0090009",Morning,351,408,759
W 82 St & Central Park West,"40.78275,-73.97137",Morning,350,402,752
State St & Smith St,"40.68926942,-73.98912867",Morning,391,358,749
5 Ave & E 93 St,"40.7857851,-73.957481",Morning,365,380,745
Clark St & Henry St,"40.69760127,-73.99344559",Morning,391,348,739
Cliff St & Fulton St,"40.70823502,-74.00530063",Morning,308,431,739
Clinton St & Grand St,"40.71559509,-73.9870295",Morning,386,350,736
John St & William St,"40.70862144,-74.00722156",Morning,366,369,735
Cherry St,"40.71219906,-73.97948148",Morning,480,252,732
W 55 St & 6 Ave,"40.763093872707969,-73.9783501625061",Morning,353,373,726
W 54 St & 9 Ave,"40.76584941,-73.98690506",Morning,409,307,716
St James Pl & Pearl St,"40.71117416,-74.00016545",Morning,292,421,713
Broad St & Bridge St,"40.70365182,-74.01167797",Morning,225,486,711
W 52 St & 6 Ave,"40.76132983124814,-73.979820013046265",Morning,215,486,701
Rivington St & Ridge St,"40.71850211,-73.98329859",Morning,489,211,700
